Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,BoxOffice,Production,Website
Abduction,2011,PG-13,23 Sep 2011,106 min,"Action, Mystery, Thriller",John Singleton,Shawn Christensen,"Alfred Molina, Maria Bello, Jason Isaacs, Denzel Whitaker",A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,English,USA,2 wins & 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTkxNzU3OTg0Nl5BMl5BanBnXkFtZTcwNDY5MDY2Ng@@._V1_SX300.jpg,25,5.0,"57,902",tt1600195,movie,4,rotten,3.3,102,4,98,"A soulless and incompetent action/thriller not even a veteran lead actor could save, let alone Taylor Lautner.",42,3,"43,970",17 Jan 2012,$28.1M,Lionsgate Films,http://www.abductionthefilm.com/
The Adventures of Pluto Nash,2002,PG-13,16 Aug 2002,95 min,"Comedy, Action, Sci-Fi",Ron Underwood,Neil Cuthbert,"Eddie Murphy, Randy Quaid, Rosario Dawson, Joe Pantoliano","In the future, a man struggles to keep his lunar nightclub out of the hands of the mafia.",English,"USA, Australia",1 win & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQ4NTMwODQwNV5BMl5BanBnXkFtZTYwNTg0Nzk2._V1_SX300.jpg,12,3.7,"18,535",tt0180052,movie,5,rotten,2.8,87,4,83,"The Adventures of Pluto Nash is neither adventurous nor funny, and Eddie Murphy is on autopilot in this notorious box office bomb.",17,2,"32,497",24 Dec 2002,$4.4M,Warner Bros.,http://www.plutonash.com
Tiptoes,2003,R,01 Jan 2004,90 min,"Comedy, Drama, Romance",Matthew Bright,Bill Weiner,"Gary Oldman, Peter Dinklage, Kate Beckinsale, Matthew McConaughey","Two brothers - a dwarf (Rolfe) and one normal-sized (Steve). When Steve's girlfriend Carol becomes pregnant, the pair are fearful that the baby will inherit the dwarfism gene. Matters are ...",English,"USA, France",N/A,http://ia.media-imdb.com/images/M/MV5BMjA0MjE0MTA0NV5BMl5BanBnXkFtZTcwNTgyNjYyMQ@@._V1_SX300.jpg,N/A,4.7,"3,398",tt0316768,movie,29,rotten,4.2,7,2,5,N/A,22,2.5,"3,220",03 Aug 2004,N/A,Sony Pictures Entertainment,N/A
On the Line,2001,PG,26 Oct 2001,85 min,"Comedy, Family, Romance",Eric Bross,"Eric Aronson, Paul B. Stanton","Lance Bass, Joey Fatone, Emmanuelle Chriqui, GQ","A shy advertising employee meets his dream girl on the El train, but doesn't remember to get her phone number, resulting in an all-out search for the mystery girl",English,USA,2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI5MDQ4OTIwN15BMl5BanBnXkFtZTcwNTkwMDcyMQ@@._V1_SX300.jpg,34,4.1,"3,535",tt0279286,movie,19,rotten,3.5,69,13,56,An inept attempt at a romantic comedy aimed at 'Nsync fans.,47,2.8,"8,308",26 Mar 2002,$4.2M,Miramax Films,http://www.getontheline.com
Speed 2: Cruise Control,1997,PG-13,13 Jun 1997,121 min,"Action, Crime, Romance",Jan de Bont,"Graham Yost (characters), Jan de Bont (story), Randall McCormick (story), Randall McCormick (screenplay), Jeff Nathanson (screenplay)","Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.,"English, American Sign Language, Portuguese",USA,1 win & 7 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg5OTAzMDA4Ml5BMl5BanBnXkFtZTcwMTM1MzE1MQ@@._V1_SX300.jpg,23,3.7,"54,685",tt0120179,movie,3,rotten,3.4,68,2,66,"Speed 2 falls far short of its predecessor, thanks to laughable dialogue, thin characterization, unsurprisingly familiar plot devices, and action sequences that fail to generate any excitement.",16,2.2,"221,673",09 Mar 1999,N/A,Fox,N/A
Bad Ass,2012,R,13 Aug 2012,90 min,"Action, Drama",Craig Moss,"Craig Moss, Elliot Tishman","Danny Trejo, Charles S. Dutton, Patrick Fabian, Joyful Drake",A Vietnam veteran who becomes a local hero after saving a man from attackers on a city bus decides to take action when his best friend is murdered and the police show little interest in solving the crime.,English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTM3MzIwMzQwM15BMl5BanBnXkFtZTcwNDA5ODY2Nw@@._V1_SX300.jpg,N/A,5.4,"13,789",tt1928330,movie,N/A,N/A,N/A,4,1,3,N/A,40,3,"6,605",05 Jun 2012,N/A,IDP/Samuel goldwyn Films,http://www.heisbadass.com
Godzilla,1998,PG-13,20 May 1998,139 min,"Action, Sci-Fi, Thriller",Roland Emmerich,"Dean Devlin (screenplay), Roland Emmerich (screenplay), Ted Elliott (story), Terry Rossio (story), Dean Devlin (story), Roland Emmerich (story)","Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria","An enormous, radioactively mutated lizard runs rampant in Manhattan.","English, French, Japanese, Russian, Spanish","USA, Japan",8 wins & 8 nominations.,http://ia.media-imdb.com/images/M/MV5BMzczODQ4NTM0NF5BMl5BanBnXkFtZTYwMjgxMTc4._V1_SX300.jpg,32,5.3,"137,291",tt0120685,movie,16,rotten,4,74,12,62,N/A,28,2.5,"301,621",26 Dec 2000,N/A,Sony Pictures Home Entertainment,N/A
Judge Dredd,1995,R,30 Jun 1995,96 min,"Action, Crime, Sci-Fi",Danny Cannon,"John Wagner (characters), Carlos Ezquerra (characters), Michael De Luca (story), William Wisher Jr. (story), William Wisher Jr. (screenplay), Steven E. de Souza (screenplay)","Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",English,USA,1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg3NTgzOTE3MF5BMl5BanBnXkFtZTYwNzEwNzg5._V1_SX300.jpg,N/A,5.4,"76,203",tt0113492,movie,18,rotten,3.7,51,9,42,"Judge Dredd wants to be both a legitimate violent action flick and a parody of one, but director Danny Cannon fails to find the necessary balance to make it work.",30,2.5,"131,846",28 Aug 2001,N/A,N/A,N/A
Spider-Man 3,2007,PG-13,04 May 2007,139 min,"Action, Adventure",Sam Raimi,"Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","English, French",USA,Nominated for 1 BAFTA Film Award. Another 1 win & 28 nominations.,http://ia.media-imdb.com/images/M/MV5BODUwMDc5Mzc5M15BMl5BanBnXkFtZTcwNDgzOTY0MQ@@._V1_SX300.jpg,59,6.2,"308,780",tt0413300,movie,63,fresh,6.2,244,153,91,"Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.",51,3.3,"2,260,489",30 Oct 2007,$336.5M,Sony Pictures,http://www.sonypictures.com/movies/spiderman3/site/
Batman & Robin,1997,PG-13,20 Jun 1997,125 min,Action,Joel Schumacher,"Bob Kane (Batman characters), Akiva Goldsman","Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",Batman & Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,English,"USA, UK",5 wins & 20 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE3NzcyNzM4MF5BMl5BanBnXkFtZTYwNDA3Mzk4._V1_SX300.jpg,28,3.6,"165,426",tt0118688,movie,11,rotten,3.7,85,9,76,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,16,2.5,"551,248",21 Oct 1997,N/A,Warner Home Video,N/A
Wild Wild West,1999,PG-13,30 Jun 1999,106 min,"Action, Western, Comedy",Barry Sonnenfeld,"Jim Thomas (story), John Thomas (story), S.S. Wilson (screenplay), Brent Maddock (screenplay), Jeffrey Price (screenplay), Peter S. Seaman (screenplay)","Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",The two best hired guns in the West must save President Grant from the clutches of a 19th century inventor-villain.,English,USA,10 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BNDI5NDk5MjgxMl5BMl5BanBnXkFtZTcwNjI1MTUyMQ@@._V1_SX300.jpg,38,4.8,"116,606",tt0120891,movie,17,rotten,4.1,130,22,108,"Bombastic, manic, and largely laugh-free, Wild Wild West is a bizarre misfire in which greater care was lavished upon the special effects than on the script.",28,2.7,"463,337",30 Nov 1999,N/A,Warner Bros. Pictures,http://wildwildwest.warnerbros.com
Jaws: The Revenge,1987,PG-13,17 Jul 1987,89 min,Horror,Joseph Sargent,"Peter Benchley (characters), Michael De Guzman","Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young",Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,English,USA,1 win & 7 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU0MTM2MzU3N15BMl5BanBnXkFtZTYwNzk5Mjc4._V1_SX300.jpg,N/A,2.8,"27,039",tt0093300,movie,0,rotten,2,31,0,31,"Illogical, tension-free, and filled with cut-rate special effects, Jaws 4 - The Revenge is a sorry chapter in a once-proud franchise.",15,2.4,"87,813",15 Jan 1999,N/A,Universal Pictures,N/A
Road House,1989,R,19 May 1989,114 min,"Action, Thriller",Rowdy Herrington,"David Lee Henry (story), David Lee Henry (screenplay), Hilary Henkin (screenplay)","Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",A tough bouncer is hired to tame a dirty bar.,"English, Portuguese",USA,5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU1MTE2Mjk2OF5BMl5BanBnXkFtZTcwMTUzNjYzNA@@._V1_SX300.jpg,N/A,6.4,"35,613",tt0098206,movie,40,rotten,5.1,30,12,18,N/A,67,3.2,"59,434",04 Feb 2003,N/A,United Artists,http://www.mgm.com/title_title.do?title_star=ROADHOUS
Barb Wire,1996,R,03 May 1996,98 min,"Action, Sci-Fi",David Hogan,"Chris Warner (characters in comic), Ilene Chaiken (story), Chuck Pfarrer (screenplay), Ilene Chaiken (screenplay)","Amir Aboulela, Adriana Alexander, David Andriole, Vanessa Lee Asher","Post-Apocalyptic remake of ""Casablanca"" set in a strip club.","English, French, German",USA,1 win & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI3NzU1MDU5OV5BMl5BanBnXkFtZTcwMzU1MjEyMQ@@._V1_SX300.jpg,40,3.2,"19,100",tt0115624,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
